                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.78023,                0.41612,                0.90453,                0.88867,                0.92745,                0.96634,                0.80336,                0.75767,                0.48649,                0.90829,               0.002872,               0.002872,               0.002872
                     38,                0.78898,                0.40689,                0.90288,                0.88448,                0.92915,                0.96569,                0.75113,                0.94451,                 0.5285,                0.96067,               0.002674,               0.002674,               0.002674
                     39,                0.76734,                0.39781,                0.90071,                0.89687,                0.92764,                0.97198,                 0.8096,                0.74653,                0.44742,                 0.9031,               0.002476,               0.002476,               0.002476
                     40,                0.74615,                0.39778,                0.91008,                0.88833,                0.93116,                0.96829,                0.78483,                  0.823,                0.48925,                0.92516,               0.002278,               0.002278,               0.002278
                     41,                0.73441,                 0.3879,                 0.9087,                0.89978,                0.92702,                0.97405,                0.82947,                0.69254,                0.41426,                0.88761,                0.00208,                0.00208,                0.00208
                     42,                0.74214,                0.38906,                0.90556,                0.88337,                0.93342,                0.96844,                0.80712,                0.75166,                0.48387,                0.90589,               0.001882,               0.001882,               0.001882
                     43,                0.73084,                0.38048,                0.90649,                0.88627,                0.93368,                0.96851,                0.80145,                0.77422,                0.47377,                0.91071,               0.001684,               0.001684,               0.001684
                     44,                0.72393,                0.38021,                0.90057,                0.84407,                0.93502,                0.95445,                0.76739,                0.84485,                0.56762,                0.93797,               0.001486,               0.001486,               0.001486
                     45,                0.72328,                0.38847,                0.91019,                0.90203,                0.92042,                0.96993,                0.80493,                 0.7579,                0.44917,                0.90905,               0.001288,               0.001288,               0.001288
                     46,                0.72981,                0.38156,                0.89852,                0.87477,                0.93972,                0.96631,                 0.7881,                0.80263,                 0.4958,                0.91898,                0.00109,                0.00109,                0.00109
                     47,                0.71581,                0.38305,                0.90098,                0.87937,                0.93368,                0.96569,                0.78668,                0.81614,                0.49407,                0.92281,               0.000892,               0.000892,               0.000892
                     48,                0.71676,                 0.3708,                0.89996,                0.89704,                0.92361,                0.97037,                0.80598,                0.75609,                0.45598,                0.90466,               0.000694,               0.000694,               0.000694
                     49,                0.71394,                0.37024,                0.89747,                0.87437,                0.75486,                0.82513,                0.67571,                0.77448,                0.46621,                0.90852,               0.000496,               0.000496,               0.000496
